X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
-0.2410763;44.916302900476;node/1004102097;pharmacy;Pharmacie Gambetta;;;;;330047911;;;;;;;33243;Libourne
-0.2428027;44.9154365004761;node/1004102269;pharmacy;Pharmacie Centrale;;;;Mo-Sa 09:00-20:00;330047895;;;;;;;33243;Libourne
-0.709622;44.8966116004778;node/1012791040;dentist;Cabinet dentaire;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7041181;44.8999632004775;node/1012800836;doctors;Maison médicale de la Boëtie;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7307084;44.8955049004779;node/1013316513;pharmacy;Pharmacie Benito - Camu;;;;;330051590;;;;;;;33449;Saint-Médard-en-Jalles
-0.7565849;44.8949669004779;node/1016706574;pharmacy;;;;;;330051681;;;;;;;33449;Saint-Médard-en-Jalles
-0.7448635;44.894074000478;node/1018057501;dentist;;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7273004;44.8956853004779;node/1018062740;dentist;;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7031163;44.8880261004785;node/1019914234;dentist;;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7018266;44.8884940004785;node/1019980317;pharmacy;Pharmacie de la liberté;;;;;330051624;;;;;;+33 5 56 05 04 21;33449;Saint-Médard-en-Jalles
-0.7005398;44.8878016004786;node/1019983208;doctors;;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.7086956;44.8912217004783;node/1021086869;doctors;;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.6991441;44.8820146004791;node/1025572490;pharmacy;Pharmacie Plante;;;;;330051541;;;;;;;33449;Saint-Médard-en-Jalles
-0.6687288;44.9075013004768;node/1034042212;pharmacy;La Pharmacie du Taillan;;;;;330052291;;;;;;;33519;Le Taillan-Médoc
-0.6780915;44.8729957004799;node/1035720533;pharmacy;Pharmacie de la Mairie;;;;;330046962;;;;;;;33200;Le Haillan
-0.6757608;44.87118420048;node/1035744976;pharmacy;Pharmacie Senescal;;;;;330046947;;;;;;;33200;Le Haillan
-0.7039455;44.8820257004791;node/1035887676;dentist;Cabinet la Longua;;;;;;;;;;;;33449;Saint-Médard-en-Jalles
-0.2416835;44.9178475004759;node/1136060800;pharmacy;Pharmacie des Allées;;;;;330048125;;;;;;;33243;Libourne
-0.5157755;44.8427879004825;node/1164443608;pharmacy;Pharmacie du Collège;;;;;330046244;;;;;;;33167;Floirac
-0.5111304;44.8455365004822;node/1191481476;pharmacy;Pharmacie Benoît;;;;;330046327;;;;;;;33167;Floirac
-0.2438681;44.9112424004765;node/1194288245;dentist;Dentiste / Nutritionniste;;;;;;;;;;;;33243;Libourne
-0.634641;44.8840798004789;node/1241182750;doctors;Cabinet médical;;;;;;;;;;;;33162;Eysines
-0.6837906;44.9115584004764;node/1244657147;pharmacy;Pharmacie de la Boëtie;;;;"Mo-Sa 09:00-12:30,14:30-20:00";330055880;;;;;;;33519;Le Taillan-Médoc
-0.6351701;44.9294106004748;node/1249196801;pharmacy;Pharmacie de Caychac;;;;;330040064;;;;;;;33056;Blanquefort
-0.5875034;44.8394071004828;node/1259853059;pharmacy;Pharmacie Saint-Bruno;;;;;330041195;;;;;;;33063;Bordeaux
