X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
3.1749962;50.6873202993068;node/1107849554;pharmacy;Grande pharmacie de Paris;;;;Mo-Su 08:30-20:00;590027272;;;;;;;59512;Roubaix
3.0265877;50.6363378993168;node/1149410796;doctors;Docteur MAES Jean-Yves;;;;;;;;;;;+33 3 20 93 05 93;59328;Lambersart
2.9608006;50.4963316993448;node/1290238381;hospital;Hôpital de Carvin;;;;;620000232;;;;;;;62215;Carvin
3.2120384;50.6666648993109;node/1301715152;pharmacy;Pharmacie Mutualiste;;;;;590034641;;;;;;;59332;Lannoy
3.2114223;50.6673210993107;node/1301715156;pharmacy;La Pharmacie Lannoy;;;;;590019923;;;;;;;59332;Lannoy
3.1537406;50.7299232992986;node/1315121007;pharmacy;Pharmacie du Parc;;;;"Mo-Fr 08:30-12:30,14:00-19:30; Sa 08:30-12:30";590030516;;;;;;+33 3 20 01 82 09;59599;Tourcoing
3.1447586;50.7329002992981;node/1315121013;pharmacy;Pharmacie Belencontre;;;;;590030607;;;;;;;59599;Tourcoing
3.058424;50.6472265993146;node/1327783683;pharmacy;Pharmacie des Quais;;;;;590021937;;;;;;;59350;Lille
3.0501179;50.6254948993189;node/1435780311;pharmacy;Pharmacie Wambergue;;;;"Mo-Fr 09:00-19:30, Sa 09:00-19:00, Su 09:00-13:00";590022083;;;;;;;59350;Lille
2.6364412;50.5370720993366;node/1499982492;pharmacy;Pharmacie de Catorive;;;;;620007344;;;;;;;62119;Béthune
3.2410101;50.4776191993487;node/1528437191;pharmacy;Pharmacie Delobelle;;;;;590025607;;;;;;+33 3 20 71 88 00;59449;Orchies
2.9501224;50.535023099337;node/1573430859;pharmacy;Pharmacie d'Allennes;;;;;590008900;;;;;;;59005;Allennes-les-Marais
3.0322601;50.6270767993186;node/1588237669;pharmacy;Pharmacie du Port Fluvial;;;;"Mo-Fr 09:00-20:00, Sa 09:00-18:00";590022216;;;;;;;59350;Lille
3.1352401;50.4138428993619;node/1597996491;doctors;;;;;;;;;;;;;59486;Râches
3.1352812;50.4138904993619;node/1597996494;dentist;;;;;;;;;;;;;59486;Râches
3.1355131;50.4138931993619;node/1597996496;doctors;;;;;;;;;;;;;59486;Râches
3.1534516;50.6705368993101;node/1599053367;pharmacy;Pharmacie du Parc;;;limited;;590013850;;;;;;;59163;Croix
3.2415183;50.4740245993494;node/1623695224;pharmacy;Pharmacie de l'Hôtel de Ville;;;;;590025573;;;;;;+33 3 20 71 82 99;59449;Orchies
3.1808975;50.6913235993061;node/1647262891;pharmacy;Pharmacie Mutualiste de Roubaix;;;;;590034666;;;;;;;59512;Roubaix
3.069164;50.6238082993192;node/1653352630;pharmacy;Pharmacie Macquart;;;;"Mo-Fr 09:00-12:15,14:00-19:30; Sa 09:00-12:15,14:00-18:30";590021317;;;;;;+33 3 20 52 41 72;59350;Lille
3.0019666;50.6131500993213;node/1666920605;pharmacy;Pharmacie Mahieu;;;;"Mo-Fr 09:00-13:00,14:00-20:00; Sa 09:00-13:00,14:00-19:00";590022885;;;;;;;59360;Loos
2.9956075;50.6115806993217;node/1667242703;pharmacy;;;;;;;;;;;;;59286;Haubourdin
3.0744598;50.6367616993167;node/1706324380;pharmacy;Pharmacie Euralille;;;yes;;590022117;;;;;;;59350;Lille
3.0906976;50.6767113993089;node/1723969698;pharmacy;Pharmacie du Bourg;;;;;590023651;;;;;;;59378;Marcq-en-Barœul
3.0907944;50.6767499993089;node/1723969704;dentist;;;;;;;;;;;;;59378;Marcq-en-Barœul
3.1258494;50.7828623992886;node/1751647446;pharmacy;Pharmacie Duriez;;;;;590017950;;;;;;;59279;Halluin
3.0577876;50.639988699316;node/1780246007;pharmacy;Pharmacie Leroux;;;;;590020434;;;;;;;59350;Lille
3.1325;50.6374561993166;node/1796314143;dentist;Docteur Michel Lefevre;;;;;;;;;;;;59009;Villeneuve-d'Ascq
3.0612705;50.6322473993176;node/1796976040;pharmacy;Pharmacie de la Liberté;;;;"Tu-Fr 09:00-19:30, Mo 10:00-19:30, Sa 09:30-12:30,14:00-19:00";590021333;;;;;;;59350;Lille
2.6402084;50.524965199339;node/1819102901;pharmacy;Pharmacie de la Gare;;;;;620007146;;;;;;;62119;Béthune
2.6390902;50.529859599338;node/1819371834;pharmacy;Pharmacie Maris;;;;;620007211;;;;;;;62119;Béthune
2.7146231;50.5800099993279;node/1867796499;pharmacy;Pharmacie Burette;;;;;620010215;;;;;;;62252;La Couture
2.7716526;50.6279752993184;node/1867805468;pharmacy;Pharmacie Deronne;;;;;620012625;;;;;;;62491;Laventie
3.0752866;50.6593411993123;node/1868317439;doctors;Hawkins-Berteloot et Croenne;;;;;;;;;;;+33320553572;59368;La Madeleine
3.3014232;50.4737978993495;node/1899478279;pharmacy;Pharmacie Detavernier;;;;"Mo-Fr 09:00-12:00,14:00-19:00; Sa 09:00-12:00, PH off";590019857;;;;;;;59330;Landas
3.2471184;50.47118999935;node/1947538804;pharmacy;Pharmacie Delobelle-Savoye;;;;;590025623;;;;;;+33 3 20 61 88 27;59449;Orchies
3.246493;50.4700419993502;node/1947538816;doctors;;;;;;;;;;;;;59449;Orchies
3.2472237;50.47139389935;node/1947538823;doctors;;;;;;;;;;;;;59449;Orchies
3.1715803;50.5106580993419;node/1947552590;pharmacy;Pharmacie du Pévèle;;;;;590012571;;;;;;;59129;Cappelle-en-Pévèle
3.1303313;50.6253722993189;node/2042751713;pharmacy;Pharmacie Ciora;;;;;590009122;;;;;;;59009;Villeneuve-d'Ascq
2.6402616;50.5314360993377;node/2069326486;pharmacy;Pharmacie Mellin;;;;;620007161;;;;;;;62119;Béthune
3.2858839;50.4593301993524;node/2088461120;pharmacy;Pharmacie Martin;;;;;;;;;;;+33 3 20616301;59080;Beuvry-la-Forêt
2.8540303;50.6072007993225;node/2091311159;doctors;Maison paramédicale;;;;;;;;;;;;59257;Fromelles
3.0358796;50.6584886993124;node/2103295731;pharmacy;Pharmacie Leleu;;;;;590019550;;;;;;;59328;Lambersart
3.0405738;50.6577912993126;node/2106238255;pharmacy;Pharmacie Dessailliez;;;;;590028551;;;;;;;59527;Saint-André-lez-Lille
3.041652;50.6590257993123;node/2106238257;hospital;Centre Ulysse Trelat;;;;;590000212;;;;;;;59527;Saint-André-lez-Lille
2.8077686;50.5331204993374;node/2107160457;hospital;Centre Hospitalier La Bassée;;;;;590000097;355;;;;;;59051;La Bassée
3.1489469;50.6951143993053;node/2128108254;pharmacy;Pharmacie du Blanc Seau;;;;"Mo-Th 12:00-04:30,14:00-19:30, Fr 09:00-19:00; Sa 08:00-12:30,14:00-18:00";590030623;;;;;;;59599;Tourcoing
3.0646857;50.61996449932;node/2242643751;pharmacy;Pharmacie Flamande;;;;"Mo-Sa 09:00-12:30, 13:30-19:30";590021051;;;;;;+33320524920;59350;Lille
3.2821155;50.5230009993394;node/2280117398;pharmacy;Pharmacie Keylouli;;;;;590025052;;;;;;;59419;Mouchin
2.9833069;50.5416017993356;node/2280978332;pharmacy;Pharmacie Statius;;;;;590017257;;;;;;;59266;Gondecourt
2.9859053;50.5442741993351;node/2280978338;pharmacy;Pharmacie Ritter;;;;;590017232;;;;;;;59266;Gondecourt
3.0895474;50.6246186993191;node/2321926776;doctors;Cabinet Courouble-Pirot;;;limited;;;;;;;;;59350;Lille
3.0455348;50.6296647993181;node/2389863573;pharmacy;Grande Pharmacie Colbert;;;no;"Mo-Su 08:30-12:30,14:00-20:00; Sa 08:30-12:30,14:00-19:00";590020632;;;;;;+33 320540900;59350;Lille
3.168565;50.5266891993387;node/2390561794;pharmacy;Pharmacie Van Triempont;;;;;590030003;;;;;;;59586;Templeuve-en-Pévèle
3.1817158;50.4269286993592;node/2397825320;pharmacy;Pharmacie Emmanuel Leclercq;;;;;590016671;;;;;;;59239;Flines-lez-Raches
3.1800815;50.4283998993589;node/2397825381;pharmacy;Pharmacie Plaetevoet;;;;;590016655;;;;;;;59239;Flines-lez-Raches
3.1989638;50.4507879993542;node/2584319975;pharmacy;Grande Pharmacie de Coutiches;;;;"Mo-Fr 08:30-12:30,14:00-19:00; Sa 09:00-12:30";590013686;;;;;;+33 3 20 71 71 66;59158;Coutiches
3.0277391;50.6320541993176;node/2647919781;pharmacy;Pharmacie Ho Tan Tai;;;;"Mo-Fr 09:00-12:15,14:00-19:15; Sa 09:00-12:15,14:00-19:00";590021655;;;;;;+33320928551;59350;Lille
