X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
4.6811962;45.9148498003555;node/1000249577;doctors;Cabinet médical Soulayrès et Lavenir;;;;;;;;;;;+33 4 37550369;69126;Marcy
4.8113054;45.7266061003827;node/1018363608;pharmacy;Pharmacie Troupel;;;;;690011051;;;;;;+33 4 78 51 74 04;69142;La Mulatière
4.9097351;45.7333450003818;node/1019718845;pharmacy;Pharmacie Centrale;;;;;690008321;;;;;;;69029;Bron
4.886023;45.7574805003784;node/103717455;hospital;Clinique Psychiatrique Notre-Dame;;;yes;;690002092;161;;;mental_health;;;69266;Villeurbanne
4.8182958;45.8140353003703;node/1088366302;pharmacy;Pharmacie de Saint-Cyr Village;;;yes;"Mo-Fr 08:30-12:15,14:30-19:00; Sa 08:30-12:30,15:00-19:00";690011820;;;;;;+33 4 78 47 20 85;69191;Saint-Cyr-au-Mont-d'Or
4.8411168;45.6391502003947;node/1127803203;pharmacy;Pharmacie Perrot;;;;;690017587;;;;;;;69296;Solaize
4.8179113;45.8128005003705;node/1151044431;dentist;;;;;;;;;;;;;69191;Saint-Cyr-au-Mont-d'Or
4.8073502;45.7785464003754;node/1151275920;pharmacy;Pharmacie de la gare d'eau;;;;"Mo-Su,PH 08:00-19:30";690022652;;;;;33977614800019;+33 4 78 83 79 69;69123;Lyon
4.8088047;45.7156571003843;node/1177037481;pharmacy;Pharmacie Azoulai;;;limited;;690011416;;;;;;+33 4 78 51 31 66;69149;Oullins
4.4550939;45.6319507003957;node/1245336061;pharmacy;Pharmacie du Marché;;;yes;"Mo-Sa 08:45-12:15,14:15-19:00; We 08:45-19:00";690012802;620;;;;49492228900017;+33478484007;69238;Saint-Symphorien-sur-Coise
4.4553866;45.6328197003956;node/1245336074;pharmacy;Pharmacie de l'Orzon;;;;"Mo-Fr 08:30-13:00,14:00-19:30; Sa 08:30-13:00,14:00-18:00";690012786;620;;;;48102521100014;+33478484401;69238;Saint-Symphorien-sur-Coise
4.7989194;45.5826976004022;node/1304081310;pharmacy;Pharmacie du Château;;;;;380004051;;;;;;;38087;Chasse-sur-Rhône
4.8062642;45.5794057004027;node/1304096047;pharmacy;Pharmacie Pagliari;;;;;380004085;;;;;;;38087;Chasse-sur-Rhône
4.809839;45.7160756003842;node/1353511221;pharmacy;Pharmacie de la Poste;;;;;690011382;;;;;;+33 4 78 51 30 40;69149;Oullins
4.8727912;45.6918310003876;node/1357967354;pharmacy;Pharmacie Mermet Bouvier;;;;;690014170;;;;;;;69259;Vénissieux
4.8652561;45.6926371003875;node/1357967402;pharmacy;Pharmacie Tchibozo;;;;;690014006;;;;;;;69259;Vénissieux
4.8435577;45.7477004003798;node/1361320009;pharmacy;Pharmacie Jean Macé;;;yes;"Mo-Fr 08:30-19:15; Sa 08:30-12:30";690021571;;;;;51398320500016;+33 4 78 72 44 33;69123;Lyon
4.8908614;45.7593304003782;node/1363074106;pharmacy;Pharmacie Grandclément;;;yes;"Mo-Sa 08:30-12:00, Mo-Fr 14:30-19:00";690015185;;;;;;;69266;Villeurbanne
4.8821241;45.7615406003778;node/1363074107;pharmacy;Pharmacie Tolstoï;;;yes;;690015482;;;;;;+33 4 78 84 90 08;69266;Villeurbanne
4.87429;45.7641353003775;node/1363074108;pharmacy;Pharmacie du Totem;;;yes;"Mo-Fr 8:30-12:30, 14:00-19:30; Sa 9:00-12:30, 15:00-19:00";690015466;;;;;52975271900029;+33 4 78 84 28 40;69266;Villeurbanne
4.8892687;45.7590830003782;node/1363074112;pharmacy;Pharmacie des Gentianes;;;yes;"Mo-Fr 09:30-12:15,14:30-19:15; Sa 09:30-12:15";690015151;;;;;;+33 4 78 54 34 91;69266;Villeurbanne
4.8721938;45.7638534003775;node/1363074142;pharmacy;Pharmacie de la Cité;;;yes;"Mo 14:30-19:30; Tu-Fr 08:30-12:30,14:30-19:30; Sa 08:30-12:30,14:30-19:00";690015433;;;;;42378901500017;+33 4 78 68 96 61;69266;Villeurbanne
4.8080562;45.7858503003744;node/1364627184;pharmacy;Pharmacie du 9e;;;;;690022702;;;;;81867205700010;+33 4 78 83 71 33;69123;Lyon
5.109725;45.5372200004081;node/1364770333;pharmacy;Pharmacie Ballet;;;;"Mo-Fr 08:30-12:15,14:30-19:15, Sa 08:30-12:15,14:30-18:00";380003921;;;;;;+33 4 74 59 01 57;38081;Charantonnay
