X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
-1.4103556;47.083278200144;node/1027975231;pharmacy;Pharmacie Le Forestier;;;;;440014694;;;;;;+33 2 40 06 61 05;44002;Aigrefeuille-sur-Maine
-1.576855;47.248299200109;node/1029532011;pharmacy;Pharmacie Chauffaille Baron;;;;"Mo 09:30-12:30,14:15-19:30; Tu-Fr 09:00-12:30,14:15-19:30; Sa 09:00-12:30,14:30-18:30; Jul-Aug Sa 09:00-12:30,14:30-17:30";440014058;;;;;;+33 2 40 76 60 71;44109;Nantes
-1.7293008;47.211043000117;node/1034073341;pharmacy;Pharmacien Chaminant;;;no;;440015287;;;;;;+33 2 40 86 10 44;44047;Couëron
-1.7261882;47.211315000117;node/1034073460;pharmacy;Pharmacie Centrale;;;;;440015329;;;;;;;44047;Couëron
-1.5676618;47.2594167001066;node/1037410551;pharmacy;Pharmacie Santos-Dumont;Mme Maurin;;;"Mo-Fr 09:00-12:30,14:30-19:00; Sa 09:00-12:30,14:30-17:00";440013902;;;;;;;44109;Nantes
-1.5483711;47.2207634001149;node/1087252651;pharmacy;Pharmacie Saint-Clément;;;;"Mo 10:30-12:30,14:15-19:15; Tu-Fr 09:00-12:30,14:15-19:15; Sa 09:00-12:30,14:15-17:30";440013860;;;;;;+33 2 40 74 07 15;44109;Nantes
-1.6865485;47.1435710001314;node/1112937942;pharmacy;Pharmacie Morvan;;;;"Mo-Fr 09:00-12:00, 14:30-19:45";440014942;;;;;;;44018;Bouaye
-1.5701805;47.1915527001212;node/1139062332;pharmacy;Pharmacie Turban;;;no;"Mo-Fr 09:00-12:30,14:30-19:00; Sa 09:00-12:30";440016210;;;;;;;44143;Rezé
-1.5536838;47.2046900001184;node/1159070792;doctors;;;;;;;;;;;;;44109;Nantes
-1.6055211;47.3657786000835;node/1161742748;pharmacy;Pharmacie Ouvrard-Masson;;;;;440015451;;;;;;;44066;Grandchamp-des-Fontaines
-1.55645;47.2056800001182;node/1205936543;doctors;;;;;;;;;;;;;44109;Nantes
-1.6115859;47.2260120001138;node/1328716120;hospital;I.R.M. de l'Atlantique;;;;;;;;;;;;44162;Saint-Herblain
-1.5940029;47.2524315001081;node/1336865114;pharmacy;Pharmacie du Petit Chantilly;;;;;440015840;;;;;;;44114;Orvault
-1.7246803;47.2141526001163;node/1341463440;pharmacy;Pharmacie Maupetit;;;;;440015303;;;;;;;44047;Couëron
-1.5912385;47.2404074001107;node/1343023910;pharmacy;Pharmacie Plaisance;;;;"Mo-Fr 09:00-12:30,14:00-19:30; Sa 09:00-12:30,14:00-19:00";440015832;;;;;;+33 2 40 76 65 01;44114;Orvault
-1.5892109;47.2460796001095;node/1354149364;doctors;Bercegeay Pascal;;;;;;;;;;;+33 2 51 83 81 11;44114;Orvault
-1.4946773;47.2974350000984;node/1369021894;pharmacy;Pharmacie des Rainettes;;;;"Mo-Fr 09:00-12:30,14:00-19:30; Sa 09:00-12:30,14:00-19:00";440015055;;;;;;+33 2 40 50 88 18;44026;Carquefou
-1.5576554;47.2143432001163;node/1369038955;pharmacy;Pharmacie de Paris;;;yes;"Mo-Sa 8:30-19:30; Su off";440014405;;;;;;+33 2 40 48 64 48;44109;Nantes
-1.5472576;47.1904152001214;node/1398758947;pharmacy;Pharmacie Pont Rousseau;Moreau;;;"du lundi au samedi : 09:00 à 12:30; 14:00 à 19:30";440016251;;;;;;;44143;Rezé
-1.5553725;47.229785100113;node/1494595486;pharmacy;Pharmacie Saint-Félix;;;;"Mo-Fr 08:45-12:45,14:15-20:00; Sa 08:45-12:45,15:00-18:00";440014140;;;;;;+33 2 40 74 25 06;44109;Nantes
-1.7937659;47.4125721000731;node/1521925686;pharmacy;;;;;;440015394;;;;;;+33 2 40 87 41 41;44056;Fay-de-Bretagne
-1.5522935;47.2197361001151;node/1560160070;doctors;Cabinet médical;;;;;;;;;;;;44109;Nantes
-1.5672482;47.2146221001162;node/1564397561;pharmacy;Pharmacie Even;;;;"Mo-Fr 09:00-12:30,14:00-19:30; Sa 09:00-12:00";440013944;;;;;;;44109;Nantes
-1.5770079;47.2244396001141;node/1572750829;pharmacy;Pharmacie Selo;;;;"Mo-Fr 08:30-20:00; Sa 09:00-19:00";440013704;;;;;;+33 2 40 76 01 14;44109;Nantes
-1.5721375;47.2243093001142;node/1572767919;hospital;Clinique Sourdille;;;;;440000651;128;;;;;;44109;Nantes
-1.6061006;47.2050710001183;node/1573880614;pharmacy;Pharmacie des Lauriers;;;;Mo-Fr 09:00-18:00;440013886;;;;;;;44109;Nantes
-1.5193805;47.2592058001067;node/1574437667;pharmacy;Pharmacie de la Beaujoire;;;yes;"Mo-Fr 08:45-19:30; Sa 08:45-12:30, 14:00-19:00";440014025;;;;;;+33 2 40 30 35 11;44109;Nantes
-1.547049;47.2352561001118;node/1596626035;pharmacy;Pharmacie de la Tortière;;;yes;"Mo-Fr 08:45-12:45,14:00-20:00; Sa 08:45-12:45,14:00-19:30";440014173;;;;;;+33 2 40 74 77 41;44109;Nantes
-1.530709;47.2221631001146;node/1619037913;pharmacy;Pharmacie Dalby;;;;"Mo-Sa 09:00-13:00, Mo-Fr 14:00-20:00, Sa 14:00-19:00";440014199;;;;;;+33 2 40 74 10 22;44109;Nantes
-1.5296732;47.224949800114;node/1619038944;pharmacy;Pharmacie Raguideau;;;;;440014207;;;;;;+33 2 40 49 32 36;44109;Nantes
-1.5423538;47.2272125001135;node/1619956290;pharmacy;Pharmacie des Enfants Nantais;;;yes;"Mo-Sa 09:00-12:30, Mo-Fr 14:00-20:00, Sa 14:00-19:00";440013746;;;;;;+33 2 40 74 04 40;44109;Nantes
-1.5843839;47.2360867001116;node/1658119028;pharmacy;Pharmacie Besnier;;;limited;"Mo 14:00-19:30; Tu-Fr 09:00-12:30,14:00-19:30; Sa 09:00-12:30,14:00-18:00";440016541;;;;;;;44162;Saint-Herblain
-1.5307593;47.1478808001304;node/1670959638;pharmacy;Pharmacie Delaire;;;;;440017192;;;;;;;44198;Les Sorinières
-1.483589;47.2510136001084;node/1675722955;pharmacy;Pharmacie Misler;;;;;440016673;;;;;;;44172;Sainte-Luce-sur-Loire
-1.483479;47.2503381001086;node/1675855803;doctors;Docteurs Dietlin et Robine Médecins généralistes;;yes;;;;;;;;;;44172;Sainte-Luce-sur-Loire
-1.5488388;47.1917895001211;node/1683389105;doctors;Centre de Santé - Médecine douce;;;;;;;;;;;;44143;Rezé
-1.5497492;47.1912937001212;node/1683389167;doctors;Centre de Santé;;;;;;;;;;;;44143;Rezé
-1.549442;47.1912470001212;node/1683389199;doctors;Centre de Santé;;;;;;;;;;;;44143;Rezé
-1.5496533;47.1910976001213;node/1683389202;doctors;Centre de Santé;;;;;;;;;;;;44143;Rezé
-1.5502903;47.1904732001214;node/1683389245;doctors;Centre de Santé Atrium;;;;;;;;;;;;44143;Rezé
-1.7652949;47.4741943000594;node/1693220051;pharmacy;Pharmacie Descamps-Lafaille;;;;;440014934;;;;;;;44015;Blain
-1.7249729;47.1950270001204;node/1707992345;doctors;;;;;;;;;;;;;44166;Saint-Jean-de-Boiseau
-1.6223674;47.3297895000913;node/1746783334;pharmacy;Pharmacie de la Mairie;;;;;440017275;;;;;;+33 2 40 94 61 71;44209;Treillières
-1.5876726;47.1801266001236;node/1747772978;doctors;Cabinet médical;;;;;;;;;;;;44020;Bouguenais
-1.5119197;47.05431800015;node/1769323805;pharmacy;Pharmacie Cochard;;;;;440015428;;;;;;;44223;Geneston
