X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
2.3285268;48.8269223997352;node/1003045002;pharmacy;;;;;;750024572;620;;;;;;75056;Paris
2.2657099;48.8478180997301;node/1003096691;pharmacy;Pharmacie du Village d'Auteuil;;;;;;;;;;;;75056;Paris
2.2652772;48.8476849997301;node/1003097454;pharmacy;Pharmacie de la Croix Bleue;;;yes;;750027567;;;;;;;75056;Paris
2.120573;48.8186689997373;node/1003745172;pharmacy;Pharmacie Saint-Antoine;;;;;780006581;;;;;;;78158;Le Chesnay-Rocquencourt
2.5021622;49.0795555996726;node/1005449278;pharmacy;Pharmacie de Marly;;;;"Tu-Fr 09:00-12:30, 14:30-19:30; Mo 14:30-19:30; Sa 09:00-12:30, 14:30-18:30";950009837;;;;;;;95371;Marly-la-Ville
2.5426685;48.823691299736;node/1007278883;pharmacy;;;;limited;;940015811;;;;;;;94079;Villiers-sur-Marne
2.5408327;48.8234287997361;node/1007307624;doctors;Dr Bachelier;;;;;;;;;;;;94079;Villiers-sur-Marne
2.5408459;48.8235048997361;node/1007307627;dentist;Dr Joachim-Delasse;;;;;;;;;;;;94079;Villiers-sur-Marne
2.5416293;48.8267436997353;node/1007410056;doctors;Dr Fontaine;;;;;;;;;;;;94079;Villiers-sur-Marne
2.5492231;48.8228465997362;node/1008048947;doctors;Cabinet Paramédical;;;;;;;;;;;+33 1 49 30 92 12;94079;Villiers-sur-Marne
2.5608806;48.8259294997355;node/1011079310;pharmacy;Pharmacie Maleine;;;;;940015647;;;;;;;94079;Villiers-sur-Marne
2.2363409;48.839886499732;node/1012296744;pharmacy;Pharmacie Mersier;;;;"Mo-Fr 08:00-21:30; Sa 08:30-20:30";920010527;;;;;;;92012;Boulogne-Billancourt
2.5427817;48.8247843997358;node/1012595822;doctors;Cabinet Paramédical;;;;;;;;;;;+33 1 49 30 04 31;94079;Villiers-sur-Marne
2.5413686;48.8274250997351;node/1012595884;pharmacy;Pharmacie des Tilleuls;;;;;940015712;;;;;;;94079;Villiers-sur-Marne
2.2340739;48.8403835997319;node/1013351518;pharmacy;Pharmacie Reine;;;;Mo-Sa 08:30-20:30;920010543;;;;;;+33 1 46 04 00 62;92012;Boulogne-Billancourt
2.3534909;48.8608936997268;node/1014690251;pharmacy;Pharmacie du Centre Pompidou;;;;;750010084;;;;;;;75056;Paris
2.5407566;48.8252952997357;node/1015988020;doctors;Dr Gobert;;;;;;;;;;;;94079;Villiers-sur-Marne
2.5434996;48.8280735997349;node/1015988051;doctors;Cabinet Médical;;;;;;;;;;;;94079;Villiers-sur-Marne
2.5419043;48.8243117997359;node/1015988081;doctors;Cabinet Infirmière;;;;;;;;;;;;94079;Villiers-sur-Marne
2.2650095;48.8430518997312;node/1016454078;pharmacy;Grande Pharmacie Jouvenet;;;;;750027666;;;;;;;75056;Paris
2.2381734;48.8428069997313;node/1018176350;pharmacy;Pharmacie du Château;;;;"Mo-Fr 08:30-20:30; Sa 09:00-20:30";920009875;;;;;;+33 1 46 05 06 87;92012;Boulogne-Billancourt
2.545656;48.8269169997352;node/1018521062;doctors;Dr Hegy;;;;;;;;;;;;94079;Villiers-sur-Marne
2.3750538;48.8714690997242;node/1020227352;pharmacy;Pharmacie du Faubourg du Temple;;;;Mo-Su 09:00-20:00;750017410;620;;;;;;75056;Paris
2.0689536;48.6732340997733;node/1022129386;pharmacy;Pharmacie Emmanuelle Chaugny;;;;;910010677;;;;;;+33 1 60 12 28 60;91411;Les Molières
2.2560712;48.840079499732;node/1022484003;pharmacy;Pharmacie du Parc des Princes;;;;"Mo-Fr 08:00-20:00; Sa 09:00-13:30, 15:00-19:30";750028003;;;;;;;75056;Paris
2.2609773;48.8387307997323;node/1025469137;pharmacy;Pharmacie du Marché;;;;Mo-Sa 08:30-20:00;750028417;;;;;;;75056;Paris
2.249911;48.8229519997362;node/1039548048;pharmacy;Pharmacie de l'Île Saint-Germain;;;;"Mo 10:00-20:00; Tu-Fr 08:30-13:30, 14:30-20:00; Sa 09:00-13:00, 14:30-20:00";920015377;;;;;;+33 1 46 42 28 05;92040;Issy-les-Moulineaux
2.2395932;48.839950099732;node/1041097910;pharmacy;Pharmacie Eisenbeth;;;;Mo-Sa 08:30-20:00;920009891;;;;;;;92012;Boulogne-Billancourt
2.3245691;48.8269808997352;node/1049759444;pharmacy;Pharmacie Alesia - Jean Moulin;;;yes;"Mo-Fr 08:00-20:00, Sa 09:00-19:30";750024382;;;;;;;75056;Paris
2.3248498;48.832041499734;node/1049759500;pharmacy;Pharmacie de l'Europe;;;;;750024523;;;;;;;75056;Paris
2.347087;48.8297819997345;node/1053842726;pharmacy;Pharmacie Blanqui;;;yes;Mo-Sa 08:30-20:30;750022386;;;;;;;75056;Paris
2.3388679;48.832076699734;node/1054569467;doctors;Institut Alfred Fournier;;;;;;;;;;;;75056;Paris
2.4900476;48.8029221997412;node/1054675534;pharmacy;Pharmacie Foch;;;;;940013477;;;;;;;94068;Saint-Maur-des-Fossés
2.3713192;48.8032668997411;node/1071272352;pharmacy;Pharmacie des Acacias;;;;;940014764;;;;;;;94076;Villejuif
2.3171101;48.9668433997006;node/1077728002;pharmacy;Pharmacie de la Barre;;;;;950006783;;;;;;;95197;Deuil-la-Barre
2.3415709;48.8470027997302;node/1079716274;pharmacy;Pharmacie Soufflot;;;;;750012247;;;;;;;75056;Paris
2.5439234;48.9224130997116;node/1079719392;pharmacy;Pharmacie de la Place;;;;;930009451;;;;;;;93046;Livry-Gargan
2.5687515;48.9347588997085;node/1079719562;pharmacy;Pharmacie Mataga;;;;;930016316;;;;;;;93074;Vaujours
2.3764797;48.6132782997882;node/1079806055;pharmacy;Pharmacie de la Poste;;;;"Mo-Fr 08:30-13:00,14:30-19:30; Sa 09:00-13:00,15:00-19:00";910005784;;;;;;;91086;Bondoufle
2.3194622;48.8375804997326;node/1080956401;pharmacy;Pharmacie Khun;;;;;750023970;;;;;;;75056;Paris
2.3065908;48.9775180996979;node/1081076590;pharmacy;Pharmacie des Trois Communes;;;;;950007351;;;;;;;95210;Enghien-les-Bains
2.2514444;48.8295396997346;node/1082016255;dentist;;;;;;;;;;;;;92012;Boulogne-Billancourt
2.2844639;48.9923023996942;node/1082897931;pharmacy;Pharmacie du Bois Jacques;;;;"Mo-Fr 09:00-12:30, 14:00-20:00; Sa-Su 09:00-19:30";950007104;;;;;;+33 1 39 59 42 49;95203;Eaubonne
1.9725234;48.7921445997439;node/1084247660;pharmacy;Pharmacie de la Clef Saint-Pierre;;;;;780007597;;;;;;;78208;Élancourt
2.2510648;48.8289939997347;node/1085585151;pharmacy;Pharmacie du Soleil;;;;Mo-Sa 09:00-20:00;920010071;;;;;;+33 1 46 20 20 70;92012;Boulogne-Billancourt
2.4950402;48.9312579997094;node/1089280984;pharmacy;Pharmacie de la Gare;;;;;930005020;;;;;;;93005;Aulnay-sous-Bois
2.4382877;48.5649131998001;node/1092982594;pharmacy;Pharmacie de l'Avenir;pharmacie;;;;910017532;620;4773Z;;;;+33 1 69 23 40 93;91386;Mennecy
2.2549359;48.8349893997332;node/1096258145;pharmacy;Pharmacie du Stade de Coubertin;;;;"Mo 12:45-20:00; Tu-Th 09:00-20:00; Fr 09:00-19:30; Sa 09:00-15:00";920010261;;;;;;;92012;Boulogne-Billancourt
